127.0.0.1 - - [19/Dec/2022:10:51:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:51:29 +0530] "GET /OnlineVotingSystem/ HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:51:29 +0530] "GET /OnlineVotingSystem/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:51:29 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:51:36 +0530] "GET /OnlineVotingSystem/index.jsp HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:51:37 +0530] "GET /OnlineVotingSystem/aboutUs.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:51:40 +0530] "GET /OnlineVotingSystem/contact.jsp HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:51:43 +0530] "GET /OnlineVotingSystem/aboutUs.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:51:44 +0530] "GET /OnlineVotingSystem/index.jsp HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:51:45 +0530] "GET /OnlineVotingSystem/adminLogin.jsp HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:51:47 +0530] "GET /OnlineVotingSystem/adminLogin.jsp?uName=&password= HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:51:48 +0530] "GET /OnlineVotingSystem/adminLogin.jsp?uName=&password= HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:51:49 +0530] "GET /OnlineVotingSystem/adminLogin.jsp?uName=&password= HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:51:49 +0530] "GET /OnlineVotingSystem/adminLogin.jsp?uName=&password= HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:52:15 +0530] "GET /OnlineVotingSystem/adminLogin.jsp?uName=&password= HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:52:17 +0530] "GET /OnlineVotingSystem/adminLogin.jsp?uName=&password= HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:52:17 +0530] "GET /OnlineVotingSystem/adminLogin.jsp?uName=&password= HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:52:17 +0530] "GET /OnlineVotingSystem/adminLogin.jsp?uName=&password= HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:52:45 +0530] "GET /OnlineVotingSystem/adminLogin.jsp?uName=&password= HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:53:16 +0530] "GET /OnlineVotingSystem/adminLogin.jsp?uName=&password= HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:53:18 +0530] "GET /OnlineVotingSystem/adminLogin.jsp?uName=&password= HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:53:19 +0530] "GET /OnlineVotingSystem/adminLogin.jsp?uName=&password= HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:53:19 +0530] "GET /OnlineVotingSystem/adminLogin.jsp?uName=&password= HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:53:19 +0530] "GET /OnlineVotingSystem/adminLogin.jsp?uName=&password= HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:53:20 +0530] "GET /OnlineVotingSystem/adminLogin.jsp?uName=&password= HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:54:08 +0530] "GET /OnlineVotingSystem/adminLogin.jsp?uName=&password= HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:54:10 +0530] "GET /OnlineVotingSystem/AdminWelcome.jsp HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:54:37 +0530] "GET /OnlineVotingSystem/adminLogin.jsp?uName=&password= HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:54:38 +0530] "GET /OnlineVotingSystem/adminWelcome.jsp HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [19/Dec/2022:10:55:26 +0530] "GET /OnlineVotingSystem/adminWelcome.jsp HTTP/1.1" 200 1166
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:03:36 +0530] "GET /OnlineVotingSystem/adminWelcome.jsp HTTP/1.1" 200 1183
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:04:06 +0530] "GET /OnlineVotingSystem/adminWelcome.jsp HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:04:25 +0530] "GET /OnlineVotingSystem/adminWelcome.jsp HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:04:27 +0530] "GET /OnlineVotingSystem/index.jsp HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:04:31 +0530] "GET /OnlineVotingSystem/index.jsp HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:04:31 +0530] "GET /OnlineVotingSystem/index.jsp HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:04:32 +0530] "GET /OnlineVotingSystem/index.jsp HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:04:32 +0530] "GET /OnlineVotingSystem/index.jsp HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:04:34 +0530] "GET /OnlineVotingSystem/aboutUs.jsp HTTP/1.1" 200 1483
